,Choose the coworkers you recognize as the most valuable players (MVP) in the company due to their outstanding contribution to the company’s performance and productivity.,personId,Summary,description
0,Howard Lynn,7883fd04-ead8-4dc1-b885-7075f153b226,Cares for others,"I choose this coworker as the MVP because they care for others. They are willing to lend a helping hand, they are empathetic, friendly, non-confrontational, open to others and respectful. They know how to listen to others, and they can be trusted and confided in."
1,Howard Lynn,7883fd04-ead8-4dc1-b885-7075f153b226,Shows motivation and enthusiasm,I choose this coworker as the MVP because they exhibit high enthusiasm for work and new knowledge. They are willing to dedicate extra energy and time to get the job done well and on time.
2,Howard Lynn,7883fd04-ead8-4dc1-b885-7075f153b226,Has leadership skills,"I choose this coworker as the MVP because they lead by example and support others through their actions and vision. They are a strategic thinker and decision-maker whose opinion is highly respected and valued. They are able to distribute, organise, coordinate work, give useful feedback, and identify the potential in others."
3,Howard Lynn,7883fd04-ead8-4dc1-b885-7075f153b226,Has knowledge and experience,"I choose this coworker as the MVP because they are both professional and competent, have a wealth of knowledge and experience in their area of expertise, and because they contribute to finding innovative solutions."
4,Howard Lynn,7883fd04-ead8-4dc1-b885-7075f153b226,Cares for the team,"I choose this coworker as the MVP because they value cohesiveness and a good team spirit. They include others in their own work and in their decisions, they motivate and bring others together as a team, and they know how to make the atmosphere in the team pleasant and easy-going."
5,Howard Lynn,7883fd04-ead8-4dc1-b885-7075f153b226,Is embedded in the company,"I choose this coworker as the MVP because they are essential to the company thanks to their knowledge of the company's vision, their entrepreneurial skills, their involvement in work processes, their ability to integrate departments, or thanks to their networking skills."
6,Howard Lynn,7883fd04-ead8-4dc1-b885-7075f153b226,Is self-sacrificing,I choose this coworker as the MVP because they are exceptionally hard-working and go above and beyond what is required. They are willing to take on several tasks simultaneously and sacrifice their free time for their work commitments.
7,Howard Lynn,7883fd04-ead8-4dc1-b885-7075f153b226,Has an appropriate work attitude,"I choose this coworker as the MVP because they are organised and carry out all their duties in a timely manner, while taking ownership of the quality and accuracy of their work. If they encounter problems, they persevere until they find a viable solution."
8,Jeremy Walker,21b09017-dd97-402a-b7f7-0a31e500139d,Cares for others,"I choose this coworker as the MVP because they care for others. They are willing to lend a helping hand, they are empathetic, friendly, non-confrontational, open to others and respectful. They know how to listen to others, and they can be trusted and confided in."
9,Jeremy Walker,21b09017-dd97-402a-b7f7-0a31e500139d,Has good communication skills,"I choose this coworker as the MVP because they can communicate well and efficiently with others. They are clear, comprehensible, give sensible ideas and make sound arguments."
10,Jeremy Walker,21b09017-dd97-402a-b7f7-0a31e500139d,Can cope with stress,"I choose this coworker as the MVP because they are patient and adaptable, can keep their composure and can deliberate thoughtfully, irrespective of the circumstances and external demands."
