,Choose the coworkers you think have the most untapped potential.,personId,Summary,description
0,Allison Baker,ff043dfe-87f5-4020-be4f-4fa4a7781cd0,Is lacking initiative,"I choose this coworker because, despite the opportunities in the company, they do not fully exhibit their skills and talents, are not motivated, are not ready to grow as an individual, and simply do not put everything they can into their work. To increase effectiveness, they should reflect on what motivates them and how to make their work more meaningful."
1,Joseph Cook,75c849f5-bd4a-48df-95c1-5fac5c30c1dc,Is suited for greater responsibility,"I choose this coworker because they are highly motivated and ambitious, and have a wealth of skills and experience. They could take on a more responsible or a senior/managerial role in the company."
2,Robert Graham,aeeaf371-5bd8-4e47-aef5-92994269514e,Is suited for greater responsibility,"I choose this coworker because they are highly motivated and ambitious, and have a wealth of skills and experience. They could take on a more responsible or a senior/managerial role in the company."
3,Robert Graham,aeeaf371-5bd8-4e47-aef5-92994269514e,Is newly employed,"I choose this coworker because they are newly employed, don't have much experience yet, may be a bit immature, or aspire to achieve more in the future. They need time and support to prove themselves and to develop further in our company."
4,Grant Lindsey,9a15941c-53eb-43a5-be9c-93e864f8a02b,Is suited for greater responsibility,"I choose this coworker because they are highly motivated and ambitious, and have a wealth of skills and experience. They could take on a more responsible or a senior/managerial role in the company."
5,Katherine Taylor,713d6111-0f60-4ab9-9678-993291190593,Is not a good-fit for the company,"I choose this coworker because their behavior is not aligned with our company. They do not share our values, they are not committed to the company, their negativity hinders the quality of teamwork. Unless they make a significant change, I cannot imagine a future for them in our company."
6,Richard Lopez,df98d372-0d03-4824-adaa-cddbb8e64fed,Is lacking initiative,"I choose this coworker because, despite the opportunities in the company, they do not fully exhibit their skills and talents, are not motivated, are not ready to grow as an individual, and simply do not put everything they can into their work. To increase effectiveness, they should reflect on what motivates them and how to make their work more meaningful."
7,Erik Martin,5de418cd-9800-48f8-b628-3becc4c736a5,Is lacking initiative,"I choose this coworker because, despite the opportunities in the company, they do not fully exhibit their skills and talents, are not motivated, are not ready to grow as an individual, and simply do not put everything they can into their work. To increase effectiveness, they should reflect on what motivates them and how to make their work more meaningful."
8,Tammy Perez,2d706b6c-2475-4a6b-8316-8e0551b533e4,Is newly employed,"I choose this coworker because they are newly employed, don't have much experience yet, may be a bit immature, or aspire to achieve more in the future. They need time and support to prove themselves and to develop further in our company."
9,Richard Lopez,df98d372-0d03-4824-adaa-cddbb8e64fed,Is suited for greater responsibility,"I choose this coworker because they are highly motivated and ambitious, and have a wealth of skills and experience. They could take on a more responsible or a senior/managerial role in the company."
10,Julian Franklin,856167f8-769f-46ef-9ac9-a5cd479d4a72,Is lacking initiative,"I choose this coworker because, despite the opportunities in the company, they do not fully exhibit their skills and talents, are not motivated, are not ready to grow as an individual, and simply do not put everything they can into their work. To increase effectiveness, they should reflect on what motivates them and how to make their work more meaningful."
11,Charles Figueroa,61499509-0dc2-44e4-be66-899460d9bcc7,Is lacking initiative,"I choose this coworker because, despite the opportunities in the company, they do not fully exhibit their skills and talents, are not motivated, are not ready to grow as an individual, and simply do not put everything they can into their work. To increase effectiveness, they should reflect on what motivates them and how to make their work more meaningful."
12,Katherine Taylor,713d6111-0f60-4ab9-9678-993291190593,Is frequently absent,"I choose this coworker because they are frequently absent from work or because their private life often interferes with their performance and the quality of their work. As a company, we should improve communication regarding their work and/or adjust their working hours to make teamwork run smoother."
13,Annette Perez,76b57182-626d-4084-9b22-c6a369660815,Is lacking initiative,"I choose this coworker because, despite the opportunities in the company, they do not fully exhibit their skills and talents, are not motivated, are not ready to grow as an individual, and simply do not put everything they can into their work. To increase effectiveness, they should reflect on what motivates them and how to make their work more meaningful."
14,Jason Smith,0b361e4f-062d-4036-8600-7102c03415db,Is lacking initiative,"I choose this coworker because, despite the opportunities in the company, they do not fully exhibit their skills and talents, are not motivated, are not ready to grow as an individual, and simply do not put everything they can into their work. To increase effectiveness, they should reflect on what motivates them and how to make their work more meaningful."
15,Chris Mcconnell,f0e5c994-6793-4f5e-8173-6e7b6911cd5f,Do not know / other,"I choose this coworker, but I cannot clearly identify their unfulfilled potential or identify them among other reasons. I have a different reason for choosing them:"
16,Daryl Bradley,9a2ccc5b-b85a-4637-bb91-82a281203beb,Do not know / other,"I choose this coworker, but I cannot clearly identify their unfulfilled potential or identify them among other reasons. I have a different reason for choosing them:"
17,Donna Wilson,548254c9-d19f-4815-9a88-b26afdfe0b7b,The company is not investing sufficiently in them,"I choose this coworker because the company is not investing sufficiently in them and their skills, or not making the best use of their skills, knowledge, and experience. To optimize their work, the company should give them more credit or autonomy and invest in their personal and professional development."
18,Jonathan Hutchinson,077cdac8-969f-42f3-8b75-19cdcc8e1c79,The company is not investing sufficiently in them,"I choose this coworker because the company is not investing sufficiently in them and their skills, or not making the best use of their skills, knowledge, and experience. To optimize their work, the company should give them more credit or autonomy and invest in their personal and professional development."
19,Howard Lynn,7883fd04-ead8-4dc1-b885-7075f153b226,Is suited for greater responsibility,"I choose this coworker because they are highly motivated and ambitious, and have a wealth of skills and experience. They could take on a more responsible or a senior/managerial role in the company."
20,Jonathan Brooks,7ab245cf-a420-462b-a5b6-be70d516776a,Is not a good-fit for the company,"I choose this coworker because their behavior is not aligned with our company. They do not share our values, they are not committed to the company, their negativity hinders the quality of teamwork. Unless they make a significant change, I cannot imagine a future for them in our company."
21,Zachary Campbell,44e98a27-7753-4438-b4ae-32350d9ffc85,Is lacking initiative,"I choose this coworker because, despite the opportunities in the company, they do not fully exhibit their skills and talents, are not motivated, are not ready to grow as an individual, and simply do not put everything they can into their work. To increase effectiveness, they should reflect on what motivates them and how to make their work more meaningful."
22,Charles Figueroa,61499509-0dc2-44e4-be66-899460d9bcc7,Is lacking initiative,"I choose this coworker because, despite the opportunities in the company, they do not fully exhibit their skills and talents, are not motivated, are not ready to grow as an individual, and simply do not put everything they can into their work. To increase effectiveness, they should reflect on what motivates them and how to make their work more meaningful."
23,Rachel Buchanan,2a2b1d2f-4d21-4d7a-9e40-389e13759a2e,Is not a good-fit for the company,"I choose this coworker because their behavior is not aligned with our company. They do not share our values, they are not committed to the company, their negativity hinders the quality of teamwork. Unless they make a significant change, I cannot imagine a future for them in our company."
24,Alicia Gilbert,9c91ca64-5d8a-473b-be4e-46e14230ae14,Is suited for greater responsibility,"I choose this coworker because they are highly motivated and ambitious, and have a wealth of skills and experience. They could take on a more responsible or a senior/managerial role in the company."
25,Kimberly Alvarado,dac8a244-42d8-4b91-a802-0c0b7b2d934f,Is lacking initiative,"I choose this coworker because, despite the opportunities in the company, they do not fully exhibit their skills and talents, are not motivated, are not ready to grow as an individual, and simply do not put everything they can into their work. To increase effectiveness, they should reflect on what motivates them and how to make their work more meaningful."
26,Brenda Stephenson,39b83de4-efbe-454a-95d7-469a009be9af,Is not a good-fit for the job position,"I choose this coworker because their skills, talents, etc. do not match the requirements of the job position. They may be better suited for other tasks, positions, responsibilities."
27,Cheryl Rodriguez,3b3461be-e6e7-4ea2-abf4-160d96cdcf5f,Is suited for greater responsibility,"I choose this coworker because they are highly motivated and ambitious, and have a wealth of skills and experience. They could take on a more responsible or a senior/managerial role in the company."
28,Charles Hines,647667cc-9e82-45bf-b069-abaddd3ab163,Is suited for greater responsibility,"I choose this coworker because they are highly motivated and ambitious, and have a wealth of skills and experience. They could take on a more responsible or a senior/managerial role in the company."
29,Marcus Miller,a4af11a6-b08e-439b-9a89-7374e7b455a4,Is suited for greater responsibility,"I choose this coworker because they are highly motivated and ambitious, and have a wealth of skills and experience. They could take on a more responsible or a senior/managerial role in the company."
30,Jessica Hoover MD,50f1ebfc-b84d-4238-8b43-170de3780f21,Is lacking initiative,"I choose this coworker because, despite the opportunities in the company, they do not fully exhibit their skills and talents, are not motivated, are not ready to grow as an individual, and simply do not put everything they can into their work. To increase effectiveness, they should reflect on what motivates them and how to make their work more meaningful."
31,Derek Johnson,0d65810a-0766-41d2-9db8-8b8b010f23ec,The company is not investing sufficiently in them,"I choose this coworker because the company is not investing sufficiently in them and their skills, or not making the best use of their skills, knowledge, and experience. To optimize their work, the company should give them more credit or autonomy and invest in their personal and professional development."
32,Jonathan Hutchinson,077cdac8-969f-42f3-8b75-19cdcc8e1c79,Is lacking initiative,"I choose this coworker because, despite the opportunities in the company, they do not fully exhibit their skills and talents, are not motivated, are not ready to grow as an individual, and simply do not put everything they can into their work. To increase effectiveness, they should reflect on what motivates them and how to make their work more meaningful."
