,id,With which coworkers do you feel the most tension or have the most conflicts?
0,fbba63ac-795a-448f-972f-caf66b0bc677,Bridget Chavez
1,7883fd04-ead8-4dc1-b885-7075f153b226,Howard Lynn
2,10528e46-d904-47eb-9f44-5d6cd2d4c92a,Erin Kelly
3,ec4b8f67-e4bc-48ff-888b-9c22c8c61dbb,Susan Burns
4,97f73138-6bcd-4522-b529-abc52dbc36bd,Susan Anderson
5,279e4ce5-be1f-402e-b67d-3cc0572cf596,Ryan Berry
6,2a2b1d2f-4d21-4d7a-9e40-389e13759a2e,Rachel Buchanan
7,7ab245cf-a420-462b-a5b6-be70d516776a,Jonathan Brooks
8,7ab245cf-a420-462b-a5b6-be70d516776a,Jonathan Brooks
9,2a2b1d2f-4d21-4d7a-9e40-389e13759a2e,Rachel Buchanan
10,3e515af2-73a9-468c-a776-16b29722e1ee,Lonnie Noble
11,0d65810a-0766-41d2-9db8-8b8b010f23ec,Derek Johnson
12,4e24e856-5c88-47f4-b10b-636039048568,Kayla White
13,2a2b1d2f-4d21-4d7a-9e40-389e13759a2e,Rachel Buchanan
14,10528e46-d904-47eb-9f44-5d6cd2d4c92a,Erin Kelly
15,7ab245cf-a420-462b-a5b6-be70d516776a,Jonathan Brooks
16,453bc5d6-d30e-4f16-8bb4-39b1a9274aee,Veronica Moyer
17,1b40bac2-ca85-4de7-aef5-67aec799b4b2,Richard Campbell
18,df98d372-0d03-4824-adaa-cddbb8e64fed,Richard Lopez
19,e79740ce-ca08-49ed-a2c0-ecc71bae6235,Kathryn Herrera
20,1b40bac2-ca85-4de7-aef5-67aec799b4b2,Richard Campbell
21,39b83de4-efbe-454a-95d7-469a009be9af,Brenda Stephenson
22,10528e46-d904-47eb-9f44-5d6cd2d4c92a,Erin Kelly
23,25e7517a-ef76-4d20-80e0-0b40099aba3f,Paul Thomas
24,ec4b8f67-e4bc-48ff-888b-9c22c8c61dbb,Susan Burns
25,97f73138-6bcd-4522-b529-abc52dbc36bd,Susan Anderson
26,077cdac8-969f-42f3-8b75-19cdcc8e1c79,Jonathan Hutchinson
27,b6076fa5-701d-44ca-9362-9310ec79daf2,Melissa Aguirre
28,5de418cd-9800-48f8-b628-3becc4c736a5,Erik Martin
29,009bcdc6-2adc-48e1-82ad-fb0f07545da7,Alexa Russo
30,4e24e856-5c88-47f4-b10b-636039048568,Kayla White
31,ab87cb79-bcf6-4e62-b707-105fa2acaa0b,Cesar Leon
32,1b40bac2-ca85-4de7-aef5-67aec799b4b2,Richard Campbell
33,39b83de4-efbe-454a-95d7-469a009be9af,Brenda Stephenson
34,7ab245cf-a420-462b-a5b6-be70d516776a,Jonathan Brooks
35,39b83de4-efbe-454a-95d7-469a009be9af,Brenda Stephenson
36,009bcdc6-2adc-48e1-82ad-fb0f07545da7,Alexa Russo
37,9c91ca64-5d8a-473b-be4e-46e14230ae14,Alicia Gilbert
38,2611b16f-2895-4c4d-8698-86dd30b08a7a,Timothy Nicholson
39,b9467c16-fd19-4944-82d6-7903af84b644,George Luna
40,a3bfeeac-d080-4a38-abea-1f9acfb5b8ff,Debra Mann
41,39b83de4-efbe-454a-95d7-469a009be9af,Brenda Stephenson
42,81afb212-89b4-4205-8524-66a0b0be1136,Jay Johnson
43,1b40bac2-ca85-4de7-aef5-67aec799b4b2,Richard Campbell
44,548254c9-d19f-4815-9a88-b26afdfe0b7b,Donna Wilson
