,personId,name,team,department,division
0,713d6111-0f60-4ab9-9678-993291190593,Katherine Taylor,IT Service Desk,IT Operations,IT support
1,2d706b6c-2475-4a6b-8316-8e0551b533e4,Tammy Perez,Product Security,IT Operations,IT Security
2,1f57ad77-8f67-44f3-8f95-e5f62e77a823,John Ford,IT Automation,IT Operations,IT support
3,a1caa1d0-ae5d-4e44-94e1-da975dc82332,Spencer Roberts,Tech & Quality,IT Operations,Tech & Quality
4,261b5eda-5daa-48dd-a9ca-9bccc4872d99,Valerie Hahn DDS,Security Infrastructure,IT Operations,IT Security
5,cb2056b0-d980-4afb-a928-aec456a8c7b9,Andrew Marsh,L1 support,IT Operations,L1 support
6,8433a043-6d09-491c-9097-06cc9f3227c7,Kimberly Willis,Governance Risk & Control,IT Operations,IT Security
7,82583ad2-cd78-4b16-994b-59ee72413fd1,Scott Grant,Tech & Quality,IT Operations,Tech & Quality
8,177629ec-d337-4e15-bc8b-9a2905ef0aca,Crystal Chambers,IT Automation,IT Operations,IT support
9,682e47b3-5e77-4d58-8b00-65f402725940,Chad Young,L1 support,IT Operations,L1 support
10,1243a1ed-4577-4f8e-84a2-86e1bc9cbb36,Stacy Hill,L1 support,IT Operations,L1 support
11,7883fd04-ead8-4dc1-b885-7075f153b226,Howard Lynn,IT Operations,IT Operations,IT Operations
12,e0805ae5-5c82-438b-bb37-6e3c8b7ec818,Jack Payne,IT Service Desk,IT Operations,IT support
13,50f1ebfc-b84d-4238-8b43-170de3780f21,Jessica Hoover MD,SOC Team,IT Operations,IT Security
14,7ab245cf-a420-462b-a5b6-be70d516776a,Jonathan Brooks,Security Operation Center,IT Operations,IT Security
15,7aad8019-324f-4445-8f6c-c800f0b7b155,Melissa Sims,Security Service Desk,IT Operations,IT support
16,357fc05a-24e9-4767-9391-1a84518847e6,Joe Boyer,IT Service Desk,IT Operations,IT support
17,410b1e89-0d45-408c-9d37-6b231ba0a9df,Timothy Adams,Network&Endpoint Security,IT Operations,IT Security
18,9289f412-7145-4582-83c6-cf4fc1e433a3,Kim Garcia,IT Compliance,IT Operations,IT Compliance
19,21b09017-dd97-402a-b7f7-0a31e500139d,Jeremy Walker,IT support,IT Operations,IT support
20,9a15941c-53eb-43a5-be9c-93e864f8a02b,Grant Lindsey,IT Service Desk,IT Operations,IT support
21,575e1416-9103-44d1-8480-e4625f37efcd,Jonathan Valencia,L1 support,IT Operations,L1 support
22,afd4a987-6811-4cc6-a6b1-7b50b1b58da2,Ruben Hammond,IT Service Desk,IT Operations,IT support
23,25e7517a-ef76-4d20-80e0-0b40099aba3f,Paul Thomas,Security Service Desk,IT Operations,IT support
24,8ce9f155-ab68-4964-9dab-c17dae29d97c,Lori Garcia,Access Team,IT Operations,IT Security
25,a4af11a6-b08e-439b-9a89-7374e7b455a4,Marcus Miller,Tech & Quality,IT Operations,Tech & Quality
26,de545ffa-687a-4e2c-9ca4-8b883a5ec08d,Brandon Green,SRE,IT Operations,SRE
27,0d65810a-0766-41d2-9db8-8b8b010f23ec,Derek Johnson,SOC Team,IT Operations,IT Security
28,76b57182-626d-4084-9b22-c6a369660815,Annette Perez,IT Service Desk,IT Operations,IT support
29,44e98a27-7753-4438-b4ae-32350d9ffc85,Zachary Campbell,Network&Endpoint Security,IT Operations,IT Security
30,ff5f9442-15fe-4a00-9e1a-0ebb59291c6e,Colleen Christian,Governance Risk & Control,IT Operations,IT Security
31,fbba63ac-795a-448f-972f-caf66b0bc677,Bridget Chavez,IT Compliance,IT Operations,IT Compliance
32,9043f9d0-3957-4678-96f3-fa559cf79998,Joseph Rivas,Network&Endpoint Security,IT Operations,IT Security
33,0f0a623d-ec97-43cd-8423-3d227e2ecf4a,George Crosby,Network&Endpoint Security,IT Operations,IT Security
34,e79740ce-ca08-49ed-a2c0-ecc71bae6235,Kathryn Herrera,SOC Team,IT Operations,IT Security
35,453bc5d6-d30e-4f16-8bb4-39b1a9274aee,Veronica Moyer,IT Automation,IT Operations,IT support
36,bccdfa45-2079-4911-9e11-3cdca857cbff,Eric Franklin,IT Support Infrastructure,IT Operations,IT support
37,009bcdc6-2adc-48e1-82ad-fb0f07545da7,Alexa Russo,SRE,IT Operations,SRE
38,97f73138-6bcd-4522-b529-abc52dbc36bd,Susan Anderson,Product Security,IT Operations,IT Security
39,fa909820-7f19-4671-ac31-f60ff5c7f016,Autumn Ramirez,SOC Team,IT Operations,IT Security
40,e202d240-2a78-4d7e-954f-54274be8de64,Eugene Hunter,L1 support,IT Operations,L1 support
41,16c3c5f1-c5e7-4053-ac12-17fb8e5d5b6f,Rachel Simmons,SOC Team,IT Operations,IT Security
42,ca33c282-80e4-4d52-9910-11a71e3636c4,Joel Davis,IT Service Desk,IT Operations,IT support
43,793af502-fa3e-426d-ab38-457644c02793,Jacqueline Maxwell,Access Team,IT Operations,IT Security
44,e1a22334-d7ca-4080-aa1a-401ab8938c09,Jocelyn Johnson,IT Automation,IT Operations,IT support
45,8f4f0941-b596-4718-a122-37e7717800b5,Gail Collins,SRE,IT Operations,SRE
46,9a2ccc5b-b85a-4637-bb91-82a281203beb,Daryl Bradley,IT Automation,IT Operations,IT support
47,ba6dd1fb-ddbd-421c-97c0-d8152d384b47,Timothy Young,SOC Team,IT Operations,IT Security
48,e6b71d11-a529-4746-a08d-edeea3a22b55,Ashley Cardenas,Governance Risk & Control,IT Operations,IT Security
49,2611b16f-2895-4c4d-8698-86dd30b08a7a,Timothy Nicholson,L1 support,IT Operations,L1 support
